Exam,Type,Q#,Course/Grade,IM - Unit,IM - Section,Cluster,Standard,Curriculum Notes
2025,MC,2,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2a,"Grade 7, Unit 2, Lesson 2: ""Introducing Proportional Relationships with Tables"" 
From the ""Making Coco Bread"" activity: 
""To make coco bread, a bakery uses 200 milliliters of coconut milk for every 360 grams of flour. Some days they bake bigger batches and some days they bake smaller batches, but they always use the same ratio of coconut milk to flour."""
2025,MC,3,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.8b,"Grade 7, Unit 8, Lesson 8: ""Keeping Track of All Possible Outcomes"" 
From the ""Lists, Tables, and Trees"" activity: 
""Han's closet has: a blue shirt, a green shirt, a white shirt, blue pants, khaki pants, and black pants. He must select one shirt and one pair of pants to wear for the day."""
2025,MC,8,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2c,"Grade 7, Unit 2, Lesson 4: ""Proportional Relationships and Equations"" 
From the ""Denver to Chicago"" activity: 
""A plane flew at a constant speed between Denver and Chicago. It took the plane 1.5 hours to fly 915 miles. Complete the table. If d represents the distance that the plane flies at this speed for t hours, write an equation that relates t and d."""
2025,MC,10,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4a & EE.1,"Grade 7, Unit 6, Lesson 11: ""Using Equations to Solve Problems"" 
From the ""At the Community Festival"" activity: 
""A family of 6 goes to the festival. They have a coupon for 1.50 off each ticket. If they pay 46.50 for all their tickets, how much does each ticket cost without the coupon?"""
2025,MC,13,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1b & NS.1a,"Grade 7, Unit 5, Lesson 3: ""Changing Elevation"" 
From the ""Adding Rational Numbers"" activity: 
""Find the sums: -35 + (30 + 5) -0.15 + (-0.85) + 12.5 1/2 + (-3/4)"""
2025,MC,14,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2b,"Grade 7, Unit 2, Lesson 11: ""Interpreting Graphs of Proportional Relationships"" 
From the ""Tyler's Walk"" activity: 
""Tyler was at the amusement park. He walked at a steady pace from the ticket booth to the bumper cars. The point on the graph shows his arrival at the bumper cars. What do the coordinates of the point tell us about the situation? What is the constant of proportionality for the relationship between time and distance? What does it tell you about Tyler's walk? Where do you see it in the graph?"""
2025,MC,17,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1d,"Grade 7, Unit 5, Lesson 7: ""Adding and Subtracting to Solve Problems"" 
From the ""Positive or Negative?"" activity: 
""Complete the following problems without computing: Is the solution to -2.7 + x = -3.5 positive or negative?  Select all the expressions that are solutions to -2.7 + x = -3.5 A. -3.5 + 2.7 B. 3.5 - 2.7 C. -3.5 - (-2.7) D. -3.5 - 2.7"""
2025,MC,20,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.1 ,"Grade 7, Unit 6, Lesson 19: ""Factoring and Expanding with Negative Numbers"" 
From the ""Factoring and Expanding"" activity: 
""In each row, write the equivalent expression. If you get stuck, use a diagram to organize your work. For the expression -2x(3y-z), write an equivalent expression in expanded form. What does it mean to expand this expression? How does the negative sign affect each term inside the parentheses? How can you check if your expanded expression -6xy + 2xz is correct?"""
2025,MC,21,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.2,"Grade 7, Unit 6, Lesson 18: ""Subtraction in Equivalent Expressions""
From the ""A Helpful Observation"" activity:
""A store is having a sale. A sweater's original price is p. The expression p - 0.25p represents the sale price in dollars. Which of these expressions is also equivalent to the sale price?"
2025,MC,23,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.2a,"Grade 7, Unit 5, Lesson 10: ""Multiply!""
From the ""Row Game: Multiplying Rational Numbers"" activity:
""Find the product:
(-8.4)(1/2) = ?"""
2025,MC,25,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.3,"Grade 7, Unit 6, Lesson 12: ""Solving Problems about Percent Increase or Decrease"" 
From the ""A Sale on Shoes"" activity: 
""A store is having a sale where all shoes are discounted by 20%. Diego has a coupon for $3 off of the regular price for one pair of shoes. The store first applies the coupon and then takes 20% off of the reduced price. If Diego pays  $18.40 for a pair of shoes, what was their original price before the sale and without the coupon?"""
2025,MC,27,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.1 ,"Grade 7, Unit 4, Lesson 2: ""Ratios and Rates with Fractions""
From the ""Comparing Running Speeds"" activity:
""A cyclist travels 3 3/4 miles in 1/3 hour. What is the unit rate in miles per hour?"""
2025,MC,28,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.3,"Grade 7, Unit 6, Lesson 12: ""Solving Problems about Percent Increase or Decrease"" 
From the ""Walking More Each Day"" activity: 
""A concert venue sold 240 tickets for the afternoon show. The evening show had 30% more attendees than the afternoon show. If tickets cost $12.75 each, what was the total amount of money collected from both shows?"""
2025,MC,29,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4b,"Grade 7, Unit 6, Lesson 14: ""Finding Solutions to Inequalities in Context"" 
From the ""Granola Bars and Savings"" activity: ""Mai starts with 300 in her savings account. She plans to withdraw 
25 each month for expenses. She wants to keep at least $100 in the account. How many months can she continue to withdraw this amount?"""
2025,MC,32,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.3 ,"Grade 7, Unit 5, Lesson 12: ""Solving Problems with Rational Numbers"" 
From the ""Moving Up and Down"" activity: 
""An elevator starts at the ground floor and descends at a constant rate of -12.5 feet per second. After 2/3 minute, the elevator is at -500 feet. At this rate, what will be the elevator's position after 1 3/4 minutes?"""
2025,MC,33,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2d,"Grade 7, Unit 2, Lesson 11: ""Interpreting Graphs of Proportional Relationships"" 
From the ""What Could the Graph Represent?"" activity: 
""The graph shows the cost of buying different numbers of protein bars at a store. 
[Graph shows a line through origin with point (8, 12)] What is the unit price of one protein bar?"""
2025,MC,34,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4b,"Grade 7, Unit 6, Lesson 14: ""Finding Solutions to Inequalities in Context"" 
From the ""Earning Money for Soccer Stuff"" activity: 
""Diego has 45 to spend at the carnival. The entrance fee is 12 and each ride ticket costs $2.50. Let x represent the number of ride tickets. Write and solve an inequality to find how many ride tickets Diego can buy."""
